Gene.symbol,adj.P.Val,P.Value,logFC
HOOK1,0.67696339,1.97E-01,-4.53E-01
,0.67701353,1.97E-01,-1.34E-02
MLH3,0.67701353,1.97E-01,6.29E-02
PWP1,0.67701353,1.97E-01,2.96E-01
NUP153,0.67701353,1.97E-01,4.61E-02
,0.67701353,1.97E-01,-3.62E-02
,0.6770239,1.97E-01,1.96E-01
SULT1E1,0.6772534,1.97E-01,-1.22
LSM12,0.67735246,1.97E-01,-2.66E-01
STAC,0.67735246,1.97E-01,2.23E-01
CD8A,0.67735246,1.97E-01,7.19E-01
CHML,0.67743378,1.97E-01,2.85E-01
GATAD1,0.67766467,1.97E-01,-3.35E-01
MEP1B,0.67766467,1.97E-01,-7.45E-02
ITPKB-IT1,0.67768279,1.97E-01,5.86E-02
PGPEP1,0.67768279,1.97E-01,-2.07E-01
NRDC,0.67768279,1.97E-01,1.40E-01
CREB3,0.67768279,1.97E-01,3.90E-01
UBE3B,0.67768279,1.97E-01,-1.11E-02
YAF2,0.67768279,1.97E-01,2.15E-01
FAM189B,0.67768279,1.97E-01,2.25E-01
,0.67768279,1.97E-01,3.28E-01
RNF180,0.67768279,1.97E-01,-2.18E-01
NUDT6,0.67768279,1.97E-01,2.26E-01
MRPS34,0.67768279,1.97E-01,2.80E-01
RNF213,0.67768279,1.97E-01,-6.39E-01
MAPK1,0.67768279,1.97E-01,2.20E-01
,0.67768279,1.97E-01,-3.00E-02
UBTF,0.67768279,1.97E-01,2.21E-01
,0.67768279,1.97E-01,-3.85E-02
SLC8A1,0.67768279,1.97E-01,3.80E-01
MAPK13,0.67768279,1.97E-01,-5.44E-01
ACTR2,0.67774241,1.97E-01,2.25E-01
IFT22,0.67774862,1.97E-01,3.10E-01
CNTNAP2,0.67780299,1.97E-01,4.28E-01
FAM114A1,0.67785113,1.97E-01,3.39E-01
SLC13A3,0.67785113,1.97E-01,-1.19E-01
EXT1,0.67799832,1.98E-01,-3.17E-01
MYH7B,0.67799906,1.98E-01,6.08E-02
GPX3,0.67803584,1.98E-01,6.70E-01
CLEC4A,0.67810486,1.98E-01,3.88E-01
HECTD2,0.67810915,1.98E-01,1.76E-01
VPS33B,0.67810915,1.98E-01,-1.89E-01
C16orf72,0.67810915,1.98E-01,4.30E-01
RIOK3,0.67810915,1.98E-01,-3.77E-01
BOLA2B///BOLA2,0.67815174,1.98E-01,-2.61E-01
ZNF555,0.67823633,1.98E-01,1.33E-01
SPATA6L,0.67825518,1.98E-01,1.69E-01
KPNB1,0.67825518,1.98E-01,1.63E-01
POGLUT1,0.67825518,1.98E-01,-3.22E-01
ANGPTL1,0.67839628,1.98E-01,1.72E-01
WWOX,0.67839628,1.98E-01,-2.09E-01
C10orf35,0.67844844,1.98E-01,3.11E-01
ATP5J,0.67847147,1.98E-01,1.77E-01
ZNF333,0.67847997,1.98E-01,-2.70E-01
MLLT10,0.67848745,1.98E-01,2.24E-01
MASP2,0.67863087,1.98E-01,-2.49E-03
ST14,0.67863087,1.98E-01,-1.00E-03
LSR,0.67863087,1.98E-01,-5.72E-01
LINC01243,0.67863664,1.98E-01,-7.72E-03
SNN,0.67863664,1.98E-01,-3.72E-01
LHFPL2,0.67863664,1.98E-01,3.08E-01
IGHD,0.67879254,1.98E-01,4.50E-01
,0.67879254,1.98E-01,-3.88E-02
USP7,0.678801,1.98E-01,-2.31E-02
FAM208B,0.67888294,1.98E-01,1.11E-01
,0.67888294,1.98E-01,-6.86E-01
GNG11,0.67896304,1.98E-01,3.71E-02
WFDC21P,0.67896698,1.98E-01,-6.23E-01
SEPT5-GP1BB///SEPT5///GP1BB,0.6790278,1.98E-01,1.96E-01
ITPRIPL1,0.6790278,1.98E-01,1.01E-01
,0.6790278,1.98E-01,-8.87E-02
ASB8,0.6790278,1.98E-01,-2.14E-01
WHSC1L1,0.6790522,1.98E-01,1.22E-01
RHOJ,0.6790522,1.98E-01,4.79E-01
,0.67910578,1.98E-01,-3.91E-01
RDH12,0.67910578,1.98E-01,-1.23E-01
ARNT,0.67916431,1.98E-01,2.15E-01
,0.67929937,1.98E-01,-2.19E-01
DUX4L24///DBET///LOC100291626///DUX4///LOC100288289///DUX4L2///DUX4L3///DUX4L5///DUX4L6///DUX4L7///LOC652301///DUX4L4///DUX4L8///DUX4L1,0.67940636,1.98E-01,6.20E-02
POLR1D,0.67942746,1.99E-01,2.87E-01
LOC101927933///LRRC8C,0.67942746,1.99E-01,-2.31E-02
,0.67945269,1.99E-01,-6.22E-02
HERC2,0.67962252,1.99E-01,-3.13E-01
MIS18A,0.67962252,1.99E-01,2.10E-01
MIR7112///BOP1,0.67966635,1.99E-01,4.87E-01
BBS1,0.67966635,1.99E-01,-3.27E-01
CCDC25,0.67967712,1.99E-01,-2.44E-01
NOBOX,0.67967712,1.99E-01,-5.73E-03
,0.67967712,1.99E-01,-1.20E-01
LETM1,0.67967712,1.99E-01,1.70E-01
ANK2,0.67967712,1.99E-01,6.97E-01
TNFRSF11A,0.67967712,1.99E-01,6.69E-01
SCOC,0.67967712,1.99E-01,2.83E-01
KLHL9,0.67967712,1.99E-01,4.76E-01
,0.67977936,1.99E-01,-4.14E-01
CCDC174,0.67982476,1.99E-01,2.80E-01
COPB1,0.67985112,1.99E-01,2.82E-01
RAC3,0.67985112,1.99E-01,2.27E-01
FMNL3,0.67985112,1.99E-01,2.37E-01
PDIK1L,0.67985112,1.99E-01,-3.59E-01
OCIAD2,0.67985112,1.99E-01,-3.89E-01
PJA1,0.67986129,1.99E-01,3.63E-01
HIPK3,0.67986129,1.99E-01,4.85E-01
LOC399900,0.67986129,1.99E-01,-6.53E-02
ZBED4,0.67986129,1.99E-01,-3.28E-01
,0.67986129,1.99E-01,-1.82E-02
MIR34A,0.6801142,1.99E-01,-1.72E-01
PGAP2,0.6801734,1.99E-01,-1.80E-01
ZHX1,0.68020132,1.99E-01,-3.88E-01
IQSEC3,0.68022516,1.99E-01,-1.01E-03
C16orf95,0.68028506,1.99E-01,1.86E-01
GLIS3,0.68033758,1.99E-01,5.83E-01
ZNF559-ZNF177///ZNF177,0.68043512,1.99E-01,-4.99E-01
CPM,0.68043512,1.99E-01,8.96E-01
TRIM65,0.68059067,1.99E-01,4.83E-02
DIP2A,0.68068944,1.99E-01,2.89E-01
ARMCX5,0.68068944,1.99E-01,2.10E-01
PET100,0.68073858,1.99E-01,-2.25E-01
LOC729970,0.68078903,1.99E-01,2.97E-01
,0.68079096,1.99E-01,4.90E-01
TNRC6B,0.68083989,1.99E-01,-2.95E-01
RSF1,0.68094674,1.99E-01,-3.47E-01
STK38,0.68100576,2.00E-01,-6.48E-02
UGT3A1,0.68100576,2.00E-01,-3.21E-02
KDSR,0.68104883,2.00E-01,5.48E-01
NKTR,0.68106765,2.00E-01,-3.10E-01
CDK5RAP2,0.68106765,2.00E-01,2.08E-01
SNX7,0.68115799,2.00E-01,5.34E-01
PHACTR2,0.68115799,2.00E-01,2.80E-01
TBC1D2B,0.68115799,2.00E-01,-3.44E-01
ANAPC7,0.68115799,2.00E-01,-1.78E-01
IGHM,0.68115799,2.00E-01,1.09
,0.68115799,2.00E-01,1.61E-01
GYS1,0.68115799,2.00E-01,-4.52E-01
,0.68115799,2.00E-01,1.88E-01
MMP7,0.68115799,2.00E-01,1.04
MUM1,0.68115799,2.00E-01,-1.75E-01
JAKMIP2,0.68122631,2.00E-01,4.35E-01
SWSAP1,0.68122631,2.00E-01,-2.37E-01
MME,0.68122631,2.00E-01,5.61E-01
,0.68122631,2.00E-01,2.20E-01
PLPP3,0.68122631,2.00E-01,-4.71E-01
ZCCHC11,0.68122631,2.00E-01,-1.99E-01
DGKK,0.6813078,2.00E-01,-1.40E-01
MGRN1,0.68135198,2.00E-01,-3.56E-01
LRFN5,0.68135198,2.00E-01,3.14E-01
RPS16,0.68167968,2.00E-01,2.04E-01
,0.68167968,2.00E-01,-1.97E-01
ZSCAN25,0.68167968,2.00E-01,-1.34E-01
LOC101060373///NOMO3///NOMO2///NOMO1,0.68187443,2.00E-01,-2.50E-01
ARL5B,0.68187443,2.00E-01,5.80E-01
,0.68187443,2.00E-01,2.92E-01
LOC728743///ZNF775,0.68212355,2.00E-01,-1.54E-01
SCAMP4,0.68214154,2.00E-01,-2.04E-02
CD5,0.68214154,2.00E-01,7.49E-02
SEC22B,0.68214154,2.00E-01,3.41E-01
LINC00623///LINC00869,0.68214154,2.00E-01,2.30E-01
,0.68239524,2.00E-01,-4.96E-02
HOMER3,0.68251465,2.00E-01,3.30E-01
ENTPD7,0.68262578,2.00E-01,-3.45E-01
AKAP10,0.68262578,2.00E-01,-5.01E-01
ZNF544,0.68268845,2.00E-01,-2.36E-01
ADGRG5,0.68269815,2.00E-01,-1.27E-01
ADGRA3,0.68293797,2.01E-01,-2.16E-01
KAT2A,0.68308486,2.01E-01,-3.54E-01
RAVER1,0.68308486,2.01E-01,-4.61E-01
MED28,0.68320112,2.01E-01,3.63E-01
GGA2,0.68325958,2.01E-01,4.26E-01
EIF5A,0.68325958,2.01E-01,-3.20E-01
,0.68325958,2.01E-01,-5.55E-01
MIEF1,0.68325958,2.01E-01,2.22E-01
RNASEL,0.68325958,2.01E-01,-4.57E-01
FAF2,0.68325958,2.01E-01,-2.45E-01
CYP2R1,0.68341911,2.01E-01,-3.05E-01
METAP2,0.68341911,2.01E-01,2.91E-01
ZNF738,0.68347853,2.01E-01,-3.65E-01
WNK3,0.68357724,2.01E-01,4.81E-02
UBE2J2,0.68359991,2.01E-01,1.91E-01
KDSR,0.68360229,2.01E-01,3.43E-01
,0.68370738,2.01E-01,-2.87E-01
SSX4B///SSX4,0.68383954,2.01E-01,4.44E-01
PDLIM5,0.68389486,2.01E-01,5.13E-01
ANK1,0.68396698,2.01E-01,-4.19E-02
,0.68396698,2.01E-01,-7.13E-02
PDCD6IP,0.68396955,2.01E-01,2.09E-01
CEP19,0.68401763,2.01E-01,3.58E-01
ABHD2,0.68401763,2.01E-01,-5.11E-01
,0.68401763,2.01E-01,-1.25E-01
C12orf29,0.68401763,2.01E-01,4.85E-01
PAK1,0.68404785,2.01E-01,-2.73E-01
PLPPR2,0.68406536,2.01E-01,-9.36E-02
DBT,0.68406536,2.01E-01,-2.65E-01
FAM189A1,0.68413699,2.01E-01,2.67E-01
RNF185,0.68413699,2.01E-01,2.09E-01
FBXO17,0.6842199,2.01E-01,3.04E-01
,0.6842199,2.01E-01,8.66E-02
MIER3,0.6842199,2.01E-01,-4.06E-01
NPAS1,0.6842199,2.01E-01,7.20E-02
ADAM23,0.6842199,2.01E-01,4.24E-01
NAB1,0.68422241,2.01E-01,4.71E-01
NOL9,0.684423,2.01E-01,-2.81E-01
LAMP3,0.68470281,2.02E-01,7.81E-01
SET,0.6847318,2.02E-01,1.47E-01
CD3D,0.6847318,2.02E-01,6.63E-01
,0.6847318,2.02E-01,-2.20E-01
HFE,0.6847318,2.02E-01,-2.90E-01
SGIP1,0.68487196,2.02E-01,2.52E-01
FBXW7,0.68488028,2.02E-01,-2.70E-01
MEF2D,0.68488028,2.02E-01,7.83E-02
GTF2A2,0.68494719,2.02E-01,8.88E-02
DSTN,0.68494719,2.02E-01,7.23E-02
,0.68494719,2.02E-01,-5.00E-01
,0.68494719,2.02E-01,-8.23E-02
YY1AP1,0.68502657,2.02E-01,2.29E-01
ARG2,0.68503775,2.02E-01,-1.30E-01
SCAND1,0.68503775,2.02E-01,-3.00E-01
CHST2,0.68503775,2.02E-01,-6.33E-01
,0.68503775,2.02E-01,-1.35E-02
SNAP25,0.68503775,2.02E-01,8.66E-02
GTF2H2B///GTF2H2,0.68503775,2.02E-01,-4.70E-01
ERBB4,0.68507677,2.02E-01,-4.54E-01
SPAG16,0.68507677,2.02E-01,-4.49E-01
PPP2R1B,0.68507677,2.02E-01,-3.13E-01
TMEM231,0.68507677,2.02E-01,-3.78E-01
GART,0.68507677,2.02E-01,4.83E-01
KCNJ13,0.68507778,2.02E-01,-2.64E-03
SLIT1-AS1,0.68507778,2.02E-01,-4.46E-02
ABCA5,0.68507778,2.02E-01,-3.64E-01
ME2,0.68539385,2.02E-01,3.43E-01
,0.68539385,2.02E-01,-6.54E-01
LOC105377458,0.68545636,2.02E-01,-9.90E-04
OPHN1,0.68557208,2.02E-01,-1.88E-01
SPSB1,0.68562885,2.02E-01,3.45E-01
ZDHHC17,0.68571026,2.02E-01,-2.56E-01
C1orf220,0.68579943,2.02E-01,-6.38E-02
,0.68579943,2.02E-01,-1.06E-01
,0.68586311,2.02E-01,1.12E-01
TFPI,0.68595611,2.02E-01,7.10E-01
NUDT11,0.68595611,2.02E-01,4.28E-01
NDUFAF1,0.68595611,2.02E-01,-3.65E-01
,0.68596676,2.02E-01,2.39E-01
SLC5A7,0.68596676,2.02E-01,-2.53E-01
UFL1,0.68596676,2.02E-01,-5.53E-02
MIR1306///DGCR8,0.68615773,2.03E-01,-6.80E-02
PSMD10,0.68622248,2.03E-01,3.08E-01
,0.68628575,2.03E-01,-1.21E-01
LOC728613///PDCD6,0.68652738,2.03E-01,3.25E-01
FAM98A,0.68656882,2.03E-01,2.06E-01
LINC00526,0.68659101,2.03E-01,2.45E-01
,0.68659172,2.03E-01,1.43E-01
ZNF337,0.68659615,2.03E-01,-2.52E-01
CREBZF,0.68661079,2.03E-01,-3.28E-01
LGALS3BP,0.68661079,2.03E-01,-6.53E-01
SNCA,0.68668261,2.03E-01,1.05E-01
HPS6,0.68686903,2.03E-01,-1.47E-01
AUNIP,0.68691229,2.03E-01,2.19E-01
DICER1,0.68717418,2.03E-01,-2.54E-01
,0.68721783,2.03E-01,-1.63E-01
EIF3M,0.68723253,2.03E-01,2.72E-01
SYNE3///LINC00341,0.68723253,2.03E-01,4.21E-01
SNTB1,0.68742708,2.03E-01,2.73E-01
C12orf49,0.68746869,2.03E-01,3.89E-01
ECT2,0.68746869,2.03E-01,3.00E-01
,0.68755099,2.03E-01,2.75E-01
GNL1,0.68774635,2.03E-01,-5.29E-02
ANKRD28,0.68774635,2.03E-01,-6.75E-01
ZKSCAN1,0.68786267,2.03E-01,-4.97E-01
AGMAT,0.68794504,2.03E-01,-6.25E-01
VPS13B,0.68800659,2.03E-01,-1.17E-03
TYMSOS,0.68800659,2.03E-01,1.08E-01
CISH,0.68833593,2.04E-01,1.60E-01
,0.68833593,2.04E-01,1.98E-01
,0.68839348,2.04E-01,-8.61E-01
ALPPL2,0.6884499,2.04E-01,-7.43E-02
HECA,0.68854972,2.04E-01,-9.61E-04
,0.68854972,2.04E-01,-4.97E-01
RNF213,0.68854972,2.04E-01,-8.18E-01
C19orf25,0.68862303,2.04E-01,2.50E-01
ARHGAP5-AS1,0.68867495,2.04E-01,2.27E-01
RNF5P1///RNF5,0.68881394,2.04E-01,2.98E-01
CD72,0.68907231,2.04E-01,5.09E-01
,0.68907231,2.04E-01,-6.48E-01
RBPMS2,0.68907231,2.04E-01,5.23E-01
LOC100506405,0.68907231,2.04E-01,4.48E-01
PELI3,0.68907231,2.04E-01,2.89E-01
CDK14,0.68909294,2.04E-01,2.83E-01
MBP,0.68941465,2.04E-01,-4.71E-03
MPHOSPH9,0.68946718,2.04E-01,4.66E-01
,0.68953086,2.04E-01,-1.86E-02
CCDC34,0.68967052,2.04E-01,2.61E-02
,0.68969398,2.04E-01,-1.40E-01
PTBP3,0.68979993,2.04E-01,-4.20E-01
IGKC,0.69025593,2.04E-01,8.39E-01
CDH12,0.69025593,2.04E-01,3.61E-01
CTDSPL,0.69026628,2.04E-01,-2.32E-02
KIAA2013,0.69026628,2.04E-01,1.92E-01
ADAMTS7,0.69026628,2.04E-01,-5.00E-02
,0.69026628,2.04E-01,-3.15E-01
PARG,0.69026628,2.04E-01,2.31E-01
,0.69044908,2.05E-01,-1.06E-01
FARP1,0.69048743,2.05E-01,-5.46E-01
MYO15B,0.69054608,2.05E-01,-1.96E-01
PSMA1,0.69054608,2.05E-01,2.25E-01
FOXD1,0.69054608,2.05E-01,6.56E-01
ADA,0.69054608,2.05E-01,4.38E-01
ITM2B,0.69056263,2.05E-01,-2.62E-01
HDLBP,0.69056263,2.05E-01,2.69E-01
TMEM132A,0.69059651,2.05E-01,3.71E-01
CHL1,0.69059651,2.05E-01,-1.71E-03
DCAF6,0.69060483,2.05E-01,2.08E-01
NFIX,0.69105337,2.05E-01,3.07E-01
WIZ,0.6910921,2.05E-01,-1.57E-01
LAMA5-AS1,0.69112555,2.05E-01,1.06E-01
NXPE3,0.69112555,2.05E-01,4.26E-01
GLUL,0.69121083,2.05E-01,4.02E-01
YIPF5,0.69135178,2.05E-01,2.32E-01
DAAM1,0.6914759,2.05E-01,-3.08E-01
RBM26,0.69148457,2.05E-01,-1.39E-01
,0.69148457,2.05E-01,1.16E-01
CTU2,0.69148457,2.05E-01,1.39E-01
FBLN1,0.69148457,2.05E-01,-7.50E-01
,0.69160526,2.05E-01,-9.87E-02
GPR34,0.69163975,2.05E-01,6.92E-01
C12orf42,0.69163975,2.05E-01,-1.66E-02
PGAM5,0.69163975,2.05E-01,2.04E-01
PAPPA,0.69163975,2.05E-01,1.03E-01
,0.69163975,2.05E-01,-1.76E-01
,0.69163975,2.05E-01,-3.96E-02
GON4L,0.6917006,2.05E-01,-1.67E-01
HIPK3,0.69189669,2.05E-01,2.27E-01
ZKSCAN3,0.69189669,2.05E-01,-1.09E-01
OR5H1,0.6919417,2.05E-01,-4.58E-03
RPLP0,0.69203555,2.05E-01,-8.77E-02
ZCCHC10,0.69208622,2.05E-01,-3.49E-01
PKD2L1,0.69221203,2.05E-01,1.05E-01
MCF2L,0.69225024,2.05E-01,-4.09E-01
KLB,0.69225024,2.06E-01,-4.24E-02
CRADD,0.69227017,2.06E-01,1.89E-01
FYN,0.69236865,2.06E-01,1.54E-01
PKN3,0.69240273,2.06E-01,3.36E-01
TIPRL,0.69240273,2.06E-01,2.65E-01
ARHGAP26,0.69240273,2.06E-01,-2.93E-01
KRT78,0.69240273,2.06E-01,1.64E-01
PEX12,0.69242642,2.06E-01,3.12E-01
LILRP2,0.69246562,2.06E-01,-3.23E-03
SCML2,0.69247322,2.06E-01,2.64E-01
NBPF20,0.69250151,2.06E-01,2.97E-01
TM9SF3,0.6925546,2.06E-01,-1.84E-01
TUG1,0.69275553,2.06E-01,-4.01E-02
KRT23,0.69287551,2.06E-01,-1.46
,0.69290884,2.06E-01,2.60E-01
SETD4,0.69300063,2.06E-01,1.76E-02
NRG1,0.69300063,2.06E-01,-2.65E-01
YTHDC1,0.69300063,2.06E-01,-4.01E-01
IRF3,0.69300063,2.06E-01,-2.47E-01
SMARCC1,0.69319194,2.06E-01,-3.77E-01
APBB1IP,0.69319194,2.06E-01,7.17E-01
RGP1,0.69319194,2.06E-01,1.89E-01
ZNF148,0.69319194,2.06E-01,3.82E-01
FOLR2,0.69319194,2.06E-01,4.74E-01
ERAP2,0.69319194,2.06E-01,3.95E-01
LOC105369635,0.69319194,2.06E-01,-3.13E-01
ST8SIA6-AS1,0.69319194,2.06E-01,4.15E-01
PKP2,0.69324064,2.06E-01,7.27E-01
LPCAT4,0.69324064,2.06E-01,-7.23E-02
EEF2,0.69324064,2.06E-01,-1.24E-01
USP21,0.69324064,2.06E-01,-5.13E-01
ZSWIM3,0.69324064,2.06E-01,-8.99E-02
PSMA1,0.69324064,2.06E-01,2.18E-01
TRA2A,0.69331437,2.06E-01,-5.34E-01
PDCD2,0.69331437,2.06E-01,-9.62E-03
INSR,0.69331437,2.06E-01,1.23E-01
LOC101928826///TPT1,0.69331437,2.06E-01,-1.19E-01
FBRS,0.69331437,2.06E-01,-3.19E-01
SCG2,0.69331437,2.06E-01,6.31E-01
SNRPD1,0.69331437,2.06E-01,2.76E-01
MYCN,0.69331437,2.06E-01,-6.09E-02
CDKN2B,0.69331437,2.06E-01,1.04
LOC284926,0.69331437,2.06E-01,4.80E-01
CORO1B,0.69331437,2.06E-01,-2.19E-01
CAPRIN1,0.69331437,2.06E-01,-1.83E-01
TROVE2,0.69331437,2.06E-01,1.71E-01
USB1,0.69331437,2.06E-01,-1.92E-01
FBXO42,0.69331437,2.06E-01,-1.35E-01
ASL,0.69331437,2.06E-01,3.29E-01
WIPF2,0.69331437,2.06E-01,-2.75E-01
,0.69331437,2.06E-01,-6.20E-02
RAB39A,0.69331437,2.06E-01,-8.53E-02
UBOX5,0.69331437,2.06E-01,-1.03E-01
NT5DC1,0.69331437,2.06E-01,-5.07E-01
PRR14,0.69331437,2.07E-01,-1.22E-01
ANKRD29,0.69338836,2.07E-01,4.79E-01
LARP4,0.69372072,2.07E-01,-2.52E-01
ZNF330,0.6938705,2.07E-01,2.54E-01
ATP2A2,0.6938705,2.07E-01,-2.40E-01
CLPB,0.6938705,2.07E-01,3.03E-01
GNA11,0.6938705,2.07E-01,1.84E-01
ZNF77,0.6938705,2.07E-01,1.24E-01
CTNND2,0.6938705,2.07E-01,-1.78E-01
DNASE2,0.69393314,2.07E-01,3.30E-01
LOC101060835///HLA-DQB1,0.69393314,2.07E-01,8.12E-01
,0.69425526,2.07E-01,-8.63E-02
PLEKHA5,0.69425526,2.07E-01,-3.17E-01
,0.69425526,2.07E-01,-1.21E-01
ZFHX4,0.69429663,2.07E-01,4.88E-01
NBR2,0.69429663,2.07E-01,-1.56E-01
SH2B2,0.69433706,2.07E-01,-2.83E-01
GGTA1P,0.69443207,2.07E-01,4.95E-01
,0.6944608,2.07E-01,8.09E-02
FOXN3,0.6944608,2.07E-01,2.13E-01
MPP2,0.6944608,2.07E-01,4.28E-02
,0.6944608,2.07E-01,6.65E-02
SMIM10L1,0.69460858,2.07E-01,2.49E-01
FAM43A,0.69469804,2.07E-01,5.36E-01
GPATCH11,0.69469804,2.07E-01,1.74E-01
MNAT1,0.69469804,2.07E-01,3.09E-01
CENPV,0.69469804,2.07E-01,-6.64E-01
HLA-DPA2,0.69469804,2.07E-01,-2.14E-02
BTN2A1,0.69469804,2.07E-01,-2.92E-01
ANGPT1,0.69469804,2.07E-01,2.27E-01
GREB1,0.69469804,2.07E-01,3.65E-01
PARVA,0.69469804,2.07E-01,4.18E-01
LIMS4///LIMS3,0.6947763,2.07E-01,3.33E-01
ITGB8,0.6947763,2.07E-01,3.71E-01
,0.69478697,2.07E-01,-2.97E-01
ZNF681,0.69478697,2.07E-01,-3.14E-01
RFC5,0.69493031,2.07E-01,4.00E-01
GSTM4,0.69493031,2.07E-01,-3.85E-01
MYCN,0.6949876,2.07E-01,8.43E-02
OBSL1,0.6949876,2.08E-01,-4.78E-01
UBE2E3,0.6949876,2.08E-01,3.20E-01
C17orf80,0.69500342,2.08E-01,3.22E-01
UBE2H,0.69505356,2.08E-01,-2.69E-01
,0.69507698,2.08E-01,1.26E-01
CEACAM6,0.69514407,2.08E-01,-1.4
LIPJ,0.69514407,2.08E-01,9.54E-02
DSERG1,0.69532643,2.08E-01,-3.10E-01
EIF2AK4,0.69546935,2.08E-01,3.21E-01
ADNP2,0.69546982,2.08E-01,-2.41E-01
KMT2A,0.69562644,2.08E-01,-9.83E-02
TNFSF18,0.69578811,2.08E-01,-1.04E-02
MAX,0.69596537,2.08E-01,2.08E-01
LOC100996696///PABPC4,0.69601071,2.08E-01,-3.03E-01
TNRC6A,0.69601071,2.08E-01,-3.01E-01
,0.69601071,2.08E-01,-2.74E-02
,0.69601071,2.08E-01,-3.02E-01
,0.69620335,2.08E-01,-1.03E-01
RBM26,0.69631047,2.08E-01,-1.86E-01
C14orf1,0.69631047,2.08E-01,1.68E-01
LRRN4CL,0.69631047,2.08E-01,2.63E-01
AFG3L2,0.69631047,2.08E-01,-1.99E-01
TRIO,0.69631047,2.08E-01,5.14E-01
MAP3K12,0.6963125,2.08E-01,-1.96E-01
TUSC2,0.69631852,2.08E-01,-2.41E-01
MRPS21,0.69633754,2.08E-01,-2.75E-01
S100A7A,0.69633852,2.08E-01,5.33E-01
HSD17B14,0.69633852,2.08E-01,-3.78E-01
TRNT1,0.69633852,2.08E-01,3.01E-01
LOC101927178///FAM177A1,0.69643801,2.08E-01,2.57E-01
FCRL5,0.69644887,2.08E-01,7.58E-01
IGKC,0.69649654,2.08E-01,1.24
MTMR9,0.69649654,2.08E-01,-2.55E-01
COL4A3,0.69649654,2.08E-01,5.11E-01
PDLIM7,0.69649654,2.08E-01,2.02E-02
MAPK8,0.69651685,2.08E-01,-2.95E-01
POLA1,0.69651685,2.08E-01,4.40E-01
SPTAN1,0.69655882,2.08E-01,3.59E-01
NHLH2,0.69661987,2.08E-01,5.35E-01
HNRNPA3///HNRNPA3P1,0.6966454,2.08E-01,1.54E-01
,0.69666056,2.09E-01,1.97E-01
LOC101928623///LOC401320,0.69675153,2.09E-01,-1.09E-01
COPS6,0.69693329,2.09E-01,2.22E-01
LINC00865,0.69728865,2.09E-01,-4.14E-01
MED7,0.69733424,2.09E-01,3.13E-01
STUB1,0.69734704,2.09E-01,1.98E-01
KIAA1033,0.69734704,2.09E-01,4.20E-01
SPRYD7,0.69742946,2.09E-01,-2.79E-01
MANEA,0.69751491,2.09E-01,5.45E-01
HIP1,0.69758128,2.09E-01,-4.52E-02
RHOB,0.69758128,2.09E-01,-3.67E-01
FMNL3,0.6975813,2.09E-01,2.23E-01
PASK,0.6975813,2.09E-01,-1.70E-01
NDST1,0.6975813,2.09E-01,2.27E-01
TMEM67,0.6975813,2.09E-01,-2.10E-01
MPPE1,0.69762265,2.09E-01,9.69E-02
APRT,0.69768774,2.09E-01,-4.83E-01
ICAM2,0.69768774,2.09E-01,4.19E-01
PTAFR,0.69768774,2.09E-01,2.72E-01
COL4A1,0.69768774,2.09E-01,5.56E-01
PLEKHM3,0.69802501,2.09E-01,-3.55E-01
,0.69802501,2.09E-01,-6.44E-02
TMEM161B,0.69803154,2.09E-01,-3.12E-01
,0.69803154,2.09E-01,1.36E-01
,0.69803154,2.09E-01,-1.71E-01
MRPL57,0.69803154,2.09E-01,2.07E-01
ATP11B,0.69803154,2.09E-01,2.31E-01
SETMAR,0.69809656,2.09E-01,-3.30E-01
FAM171B,0.69809656,2.09E-01,5.63E-01
PPFIBP1,0.69809656,2.09E-01,3.61E-01
FNIP1,0.69809656,2.09E-01,9.79E-02
FBXO22,0.69809656,2.09E-01,2.77E-01
,0.69814627,2.09E-01,4.40E-01
METTL1,0.69814627,2.09E-01,3.11E-01
MTCP1,0.69814627,2.09E-01,-1.38E-01
ZNF618,0.69824329,2.09E-01,3.99E-01
NARFL,0.69824329,2.09E-01,-1.03E-01
LAPTM4B,0.69824858,2.09E-01,8.17E-01
TMEM40,0.698401,2.10E-01,-6.52E-01
HILPDA,0.698401,2.10E-01,-6.30E-01
XRN1,0.69852484,2.10E-01,2.53E-01
NACA,0.69852484,2.10E-01,-1.53E-01
FAM169A,0.69852484,2.10E-01,-6.72E-01
,0.69853073,2.10E-01,-1.37E-01
,0.69857879,2.10E-01,-4.79E-02
TNFSF9,0.69857879,2.10E-01,2.20E-01
GPR161,0.69857879,2.10E-01,2.91E-01
PHLDB2,0.69857879,2.10E-01,5.02E-01
TMEM150C,0.698602,2.10E-01,5.60E-01
NCOA7,0.698602,2.10E-01,-8.51E-02
SYNPO2,0.698602,2.10E-01,9.77E-01
TTLL1,0.698602,2.10E-01,-1.82E-01
VPS33A,0.698602,2.10E-01,-2.36E-01
MOBP,0.69863567,2.10E-01,-1.05E-03
ZNF101,0.69867146,2.10E-01,2.89E-01
GGA2,0.69876042,2.10E-01,9.69E-02
ZNF91,0.69880905,2.10E-01,-1.52E-01
RBM15,0.69884796,2.10E-01,-7.72E-02
GGA1,0.69897912,2.10E-01,-2.18E-01
,0.69897912,2.10E-01,-3.81E-02
FMO3,0.69903034,2.10E-01,7.30E-01
LOC105376037,0.69910021,2.10E-01,-6.71E-03
